Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
862,29,331,1,2779.716
863,29,332,2,2783.049
864,29,332,1,2786.382
865,29,333,2,2789.716
866,29,333,1,2793.049
867,29,334,2,2796.382
868,29,334,1,2799.716
869,29,334,1,2803.049
870,29,335,2,2806.382
871,30,335,2,2809.716
872,30,335,2,2813.049
873,30,336,3,2816.382
874,30,336,3,2819.716
875,30,337,4,2823.049
876,30,337,4,2826.382
877,30,337,4,2829.716
878,30,338,4,2833.049
879,30,338,4,2836.382
880,30,338,4,2839.716
881,30,339,5,2843.049
882,30,339,5,2846.382
883,30,340,6,2849.716
884,30,340,6,2853.049
885,30,341,7,2856.382
886,30,341,7,2859.716
887,30,342,5,2863.049
888,30,342,1,2866.382
889,30,342,1,2869.716
890,30,343,1,2873.049
891,30,343,1,2876.382
892,30,344,2,2879.716
893,30,344,1,2883.049
894,30,345,2,2886.382
895,30,345,1,2889.716
896,30,346,2,2893.049
897,30,346,2,2896.382
898,30,346,2,2899.716
899,30,347,3,2903.049
900,30,347,3,2906.382
901,31,347,3,2909.716
902,31,348,4,2913.049
903,31,348,4,2916.382
904,31,348,4,2919.716
905,31,349,4,2923.049
906,31,349,4,2926.382
907,31,349,4,2929.716
908,31,350,5,2933.049
909,31,350,5,2936.382
910,31,350,5,2939.716
911,31,351,6,2943.049
912,31,351,6,2946.382
913,31,351,6,2949.716
914,31,352,3,2953.049
915,31,352,1,2956.382
916,31,352,1,2959.716
917,31,353,1,2963.049
918,31,353,1,2966.382
919,31,353,1,2969.716
920,31,354,1,2973.049
921,31,354,1,2976.382
922,31,354,1,2979.716
923,31,355,2,2983.049
924,31,355,2,2986.382
925,31,355,2,2989.716
926,31,356,3,2993.049
927,31,356,3,2996.382
928,31,357,4,2999.716
929,31,357,4,3003.049
930,31,357,4,3006.382
931,32,358,5,3009.716
932,32,358,5,3013.049
933,32,358,5,3016.382
934,32,359,6,3019.716
935,32,359,6,3023.049
936,32,360,7,3026.382
937,32,360,7,3029.716
938,32,361,8,3033.049
939,32,361,8,3036.382
940,32,362,9,3039.716
941,32,362,6,3043.049
942,32,363,3,3046.382
943,32,363,1,3049.716
944,32,363,1,3053.049
945,32,364,1,3056.382
946,32,364,1,3059.716
947,32,364,1,3063.049
948,32,365,1,3066.382
949,32,365,1,3069.716
950,32,365,1,3073.049
951,32,366,2,3076.382
952,32,366,2,3079.716
953,32,367,3,3083.049
954,32,367,3,3086.382
955,32,368,4,3089.716
956,32,368,4,3093.049
957,32,368,4,3096.382
958,32,369,5,3099.716
959,32,369,2,3103.049
960,32,370,3,3106.382
961,33,370,3,3109.716
962,33,371,4,3113.049
963,33,371,4,3116.382
964,33,372,5,3119.716
965,33,372,5,3123.049
966,33,373,6,3126.382
967,33,373,6,3129.716
968,33,373,3,3133.049
969,33,374,1,3136.382
970,33,374,1,3139.716
971,33,374,1,3143.049
972,33,375,1,3146.382
973,33,375,1,3149.716
974,33,375,1,3153.049
975,33,376,1,3156.382
976,33,376,1,3159.716
977,33,376,1,3163.049
978,33,377,2,3166.382
979,33,377,2,3169.716
980,33,377,2,3173.049
981,33,378,3,3176.382
982,33,378,3,3179.716
983,33,378,3,3183.049
984,33,379,4,3186.383
985,33,379,4,3189.716
986,33,379,3,3193.049
987,33,380,4,3196.383
988,33,380,4,3199.716
989,33,381,5,3203.049
990,33,381,5,3206.383
991,34,381,5,3209.716
992,34,382,6,3213.049
993,34,382,6,3216.383
994,34,382,6,3219.716
995,34,383,4,3223.049
996,34,383,1,3226.383
997,34,383,1,3229.716
998,34,384,1,3233.049
999,34,384,1,3236.383
1000,34,385,2,3239.716
1001,34,385,1,3243.049
1002,34,385,1,3246.383
1003,34,386,1,3249.716
1004,34,386,1,3253.049
1005,34,386,1,3256.383
1006,34,387,2,3259.716
1007,34,387,2,3263.049
1008,34,388,3,3266.383
1009,34,388,3,3269.716
1010,34,388,3,3273.049
1011,34,389,4,3276.383
1012,34,389,4,3279.716
1013,34,389,3,3283.049
1014,34,390,4,3286.383
1015,34,390,4,3289.716
1016,34,391,5,3293.049
1017,34,391,5,3296.383
1018,34,392,6,3299.716
1019,34,392,6,3303.049
1020,34,392,6,3306.383
1021,35,393,7,3309.716
1022,35,393,3,3313.049
1023,35,394,2,3316.383
1024,35,394,1,3319.716
1025,35,394,1,3323.049
1026,35,395,1,3326.383
1027,35,395,1,3329.716
1028,35,396,2,3333.049
1029,35,396,1,3336.383
1030,35,397,2,3339.716
1031,35,397,2,3343.049
1032,35,398,3,3346.383
1033,35,398,3,3349.716
1034,35,399,4,3353.049
1035,35,399,4,3356.383
1036,35,400,5,3359.716
1037,35,400,5,3363.049
1038,35,401,6,3366.383
1039,35,401,6,3369.716
1040,35,401,5,3373.049
1041,35,402,6,3376.383
1042,35,402,6,3379.716
1043,35,402,6,3383.049
1044,35,403,7,3386.383
1045,35,403,7,3389.716
1046,35,403,7,3393.049
1047,35,404,8,3396.383
1048,35,404,8,3399.716
1049,35,404,5,3403.049
1050,35,405,2,3406.383
1051,36,405,1,3409.716
1052,36,405,1,3413.049
1053,36,406,1,3416.383
1054,36,406,1,3419.716
1055,36,407,2,3423.049
1056,36,407,1,3426.383
1057,36,408,2,3429.716
1058,36,408,2,3433.049
1059,36,409,3,3436.383
1060,36,409,3,3439.716
1061,36,409,3,3443.049
